Pattern,ErrorRate,CorruptionLevel,num_neurons,param
1,0.0,0.0,100,64
2,0.0,0.0,100,64
3,0.0,0.0,100,64
4,0.0,0.0,100,64
5,0.0,0.0,100,64
6,0.0018333333333333333,0.0,100,64
7,0.0008,0.0,100,64
8,0.0,0.0,100,64
9,0.0012444444444444445,0.0,100,64
10,0.0,0.0,100,64
11,0.0023818181818181816,0.0,100,64
12,0.0009,0.0,100,64
13,0.0018769230769230772,0.0,100,64
14,0.0014285714285714288,0.0,100,64
15,0.0015333333333333332,0.0,100,64
16,0.0015250000000000003,0.0,100,64
17,0.003270588235294117,0.0,100,64
18,0.0020666666666666667,0.0,100,64
19,0.0017684210526315788,0.0,100,64
20,0.00185,0.0,100,64
21,0.002,0.0,100,64
22,0.0010545454545454547,0.0,100,64
23,0.0025130434782608697,0.0,100,64
24,0.0020666666666666667,0.0,100,64
1,0.0,0.0,100,32
2,0.1122,0.0,100,32
3,0.1522666666666667,0.0,100,32
4,0.2386,0.0,100,32
5,0.269,0.0,100,32
6,0.29993333333333333,0.0,100,32
7,0.32457142857142857,0.0,100,32
8,0.35172500000000007,0.0,100,32
9,0.36897777777777774,0.0,100,32
10,0.37864,0.0,100,32
11,0.3994,0.0,100,32
12,0.41095,0.0,100,32
13,0.41519999999999996,0.0,100,32
14,0.4197714285714286,0.0,100,32
15,0.42998666666666663,0.0,100,32
16,0.4324,0.0,100,32
17,0.43976470588235295,0.0,100,32
18,0.4435888888888889,0.0,100,32
19,0.4474105263157895,0.0,100,32
20,0.45091999999999993,0.0,100,32
21,0.45260000000000006,0.0,100,32
22,0.45959090909090905,0.0,100,32
23,0.46307826086956516,0.0,100,32
24,0.4635333333333333,0.0,100,32
1,0.0,0.0,100,16
2,0.2524,0.0,100,16
3,0.38159999999999994,0.0,100,16
4,0.43650000000000005,0.0,100,16
5,0.47028,0.0,100,16
6,0.48463333333333336,0.0,100,16
7,0.4932571428571428,0.0,100,16
8,0.49169999999999997,0.0,100,16
9,0.49824444444444443,0.0,100,16
10,0.4969799999999999,0.0,100,16
11,0.4995454545454545,0.0,100,16
12,0.4999166666666667,0.0,100,16
13,0.49906153846153845,0.0,100,16
14,0.5005857142857143,0.0,100,16
15,0.5004666666666666,0.0,100,16
16,0.50415,0.0,100,16
17,0.5002823529411764,0.0,100,16
18,0.5015888888888889,0.0,100,16
19,0.4968736842105263,0.0,100,16
20,0.49979000000000007,0.0,100,16
21,0.5001809523809524,0.0,100,16
22,0.4993000000000001,0.0,100,16
23,0.5009739130434783,0.0,100,16
24,0.49935,0.0,100,16
1,0.0,0.0,100,8
2,0.25,0.0,100,8
3,0.3774666666666666,0.0,100,8
4,0.43565,0.0,100,8
5,0.46836,0.0,100,8
6,0.48639999999999994,0.0,100,8
7,0.49222857142857146,0.0,100,8
8,0.49835,0.0,100,8
9,0.4964444444444444,0.0,100,8
10,0.49744,0.0,100,8
11,0.4982363636363636,0.0,100,8
12,0.4983666666666667,0.0,100,8
13,0.4997692307692308,0.0,100,8
14,0.4990714285714285,0.0,100,8
15,0.49827999999999995,0.0,100,8
16,0.5006499999999999,0.0,100,8
17,0.499870588235294,0.0,100,8
18,0.5001000000000001,0.0,100,8
19,0.4972631578947368,0.0,100,8
20,0.50127,0.0,100,8
21,0.5012571428571428,0.0,100,8
22,0.5018545454545454,0.0,100,8
23,0.49688695652173914,0.0,100,8
24,0.5020916666666667,0.0,100,8
