Pattern,ErrorRate,CorruptionLevel,num_neurons,theta
1,0.0,0.0,100,0.0
1,0.0,0.1,100,0.0
1,0.0,0.2,100,0.0
1,0.0,0.3,100,0.0
1,0.0020800000000000003,0.4,100,0.0
1,0.04483333333333332,0.5,100,0.0
2,0.0,0.0,100,0.0
2,0.0,0.1,100,0.0
2,0.0,0.2,100,0.0
2,0.0,0.3,100,0.0
2,0.0054800000000000005,0.4,100,0.0
2,0.05788333333333333,0.5,100,0.0
3,0.0,0.0,100,0.0
3,0.0,0.1,100,0.0
3,0.0,0.2,100,0.0
3,0.00105,0.3,100,0.0
3,0.010760000000000002,0.4,100,0.0
3,0.07074444444444446,0.5,100,0.0
4,0.0,0.0,100,0.0
4,0.0,0.1,100,0.0
4,0.0,0.2,100,0.0
4,0.0018624999999999998,0.3,100,0.0
4,0.024799999999999996,0.4,100,0.0
4,0.08435,0.5,100,0.0
5,0.0,0.0,100,0.0
5,0.0,0.1,100,0.0
5,0.00016,0.2,100,0.0
5,0.0020800000000000003,0.3,100,0.0
5,0.022303999999999997,0.4,100,0.0
5,0.08132000000000002,0.5,100,0.0
6,0.0,0.0,100,0.0
6,0.0,0.1,100,0.0
6,0.0,0.2,100,0.0
6,0.0036583333333333333,0.3,100,0.0
6,0.029580000000000006,0.4,100,0.0
6,0.09456666666666669,0.5,100,0.0
7,0.0,0.0,100,0.0
7,0.0,0.1,100,0.0
7,0.00022857142857142854,0.2,100,0.0
7,0.005807142857142857,0.3,100,0.0
7,0.036102857142857145,0.4,100,0.0
7,0.09970952380952382,0.5,100,0.0
8,0.0,0.0,100,0.0
8,0.000125,0.1,100,0.0
8,0.0003833333333333333,0.2,100,0.0
8,0.00725625,0.3,100,0.0
8,0.035925,0.4,100,0.0
8,0.10179583333333332,0.5,100,0.0
9,2.2222222222222223e-05,0.0,100,0.0
9,1.1111111111111112e-05,0.1,100,0.0
9,0.0003185185185185185,0.2,100,0.0
9,0.006022222222222221,0.3,100,0.0
9,0.03855555555555555,0.4,100,0.0
9,0.10457777777777778,0.5,100,0.0
10,0.0,0.0,100,0.0
10,0.0,0.1,100,0.0
10,0.0008466666666666667,0.2,100,0.0
10,0.007625,0.3,100,0.0
10,0.04367999999999999,0.4,100,0.0
10,0.10773666666666666,0.5,100,0.0
11,0.0,0.0,100,0.0
11,2.727272727272727e-05,0.1,100,0.0
11,0.001509090909090909,0.2,100,0.0
11,0.01075909090909091,0.3,100,0.0
11,0.05128000000000001,0.4,100,0.0
11,0.11724545454545454,0.5,100,0.0
12,6.666666666666666e-05,0.0,100,0.0
12,0.00010833333333333334,0.1,100,0.0
12,0.0017944444444444444,0.2,100,0.0
12,0.014337499999999998,0.3,100,0.0
12,0.05623666666666668,0.4,100,0.0
12,0.12015277777777778,0.5,100,0.0
13,0.0003846153846153846,0.0,100,0.0
13,0.00029230769230769224,0.1,100,0.0
13,0.003164102564102564,0.2,100,0.0
13,0.015111538461538461,0.3,100,0.0
13,0.059603076923076925,0.4,100,0.0
13,0.12483589743589742,0.5,100,0.0
14,0.00014285714285714287,0.0,100,0.0
14,0.0011928571428571429,0.1,100,0.0
14,0.002276190476190477,0.2,100,0.0
14,0.016289285714285714,0.3,100,0.0
14,0.06332571428571429,0.4,100,0.0
14,0.12769523809523808,0.5,100,0.0
15,0.00042666666666666667,0.0,100,0.0
15,0.0010333333333333334,0.1,100,0.0
15,0.004368888888888889,0.2,100,0.0
15,0.01991,0.3,100,0.0
15,0.06698399999999999,0.4,100,0.0
15,0.13057333333333332,0.5,100,0.0
16,0.0007124999999999999,0.0,100,0.0
16,0.0016812499999999996,0.1,100,0.0
16,0.004466666666666667,0.2,100,0.0
16,0.02375,0.3,100,0.0
16,0.07461,0.4,100,0.0
16,0.1372020833333333,0.5,100,0.0
17,0.0012823529411764706,0.0,100,0.0
17,0.0013235294117647058,0.1,100,0.0
17,0.006286274509803922,0.2,100,0.0
17,0.0308,0.3,100,0.0
17,0.08050117647058823,0.4,100,0.0
17,0.14288627450980393,0.5,100,0.0
18,0.0013222222222222225,0.0,100,0.0
18,0.0029888888888888886,0.1,100,0.0
18,0.007374074074074075,0.2,100,0.0
18,0.02972777777777778,0.3,100,0.0
18,0.08371111111111111,0.4,100,0.0
18,0.1445351851851852,0.5,100,0.0
19,0.0018947368421052629,0.0,100,0.0
19,0.0038263157894736833,0.1,100,0.0
19,0.011136842105263159,0.2,100,0.0
19,0.03610263157894737,0.3,100,0.0
19,0.08982947368421051,0.4,100,0.0
19,0.1495421052631579,0.5,100,0.0
20,0.0021100000000000003,0.0,100,0.0
20,0.0043300000000000005,0.1,100,0.0
20,0.01266,0.2,100,0.0
20,0.038232499999999996,0.3,100,0.0
20,0.09141200000000001,0.4,100,0.0
20,0.15169,0.5,100,0.0
21,0.00319047619047619,0.0,100,0.0
21,0.006961904761904761,0.1,100,0.0
21,0.01672063492063492,0.2,100,0.0
21,0.04534761904761905,0.3,100,0.0
21,0.10031238095238096,0.4,100,0.0
21,0.15881111111111113,0.5,100,0.0
22,0.003427272727272727,0.0,100,0.0
22,0.00888181818181818,0.1,100,0.0
22,0.01781818181818182,0.2,100,0.0
22,0.05001818181818181,0.3,100,0.0
22,0.10408000000000003,0.4,100,0.0
22,0.1613090909090909,0.5,100,0.0
23,0.006391304347826087,0.0,100,0.0
23,0.013321739130434782,0.1,100,0.0
23,0.025066666666666668,0.2,100,0.0
23,0.06034782608695652,0.3,100,0.0
23,0.1147008695652174,0.4,100,0.0
23,0.17196811594202896,0.5,100,0.0
24,0.005725,0.0,100,0.0
24,0.013058333333333333,0.1,100,0.0
24,0.026655555555555554,0.2,100,0.0
24,0.06271458333333334,0.3,100,0.0
24,0.11793666666666666,0.4,100,0.0
24,0.17398888888888892,0.5,100,0.0
25,0.011752000000000002,0.0,100,0.0
25,0.015952000000000008,0.1,100,0.0
25,0.032024,0.2,100,0.0
25,0.068702,0.3,100,0.0
25,0.1255664,0.4,100,0.0
25,0.17976933333333334,0.5,100,0.0
26,0.01956923076923077,0.0,100,0.0
26,0.023080769230769235,0.1,100,0.0
26,0.04265897435897436,0.2,100,0.0
26,0.08094038461538462,0.3,100,0.0
26,0.13648461538461537,0.4,100,0.0
26,0.18945,0.5,100,0.0
27,0.016718518518518518,0.0,100,0.0
27,0.026314814814814808,0.1,100,0.0
27,0.04577283950617284,0.2,100,0.0
27,0.08358148148148148,0.3,100,0.0
27,0.13836888888888887,0.4,100,0.0
27,0.19139382716049386,0.5,100,0.0
28,0.016964285714285713,0.0,100,0.0
28,0.023757142857142855,0.1,100,0.0
28,0.04375714285714287,0.2,100,0.0
28,0.08464464285714285,0.3,100,0.0
28,0.14072571428571432,0.4,100,0.0
28,0.19335714285714287,0.5,100,0.0
29,0.02338620689655173,0.0,100,0.0
29,0.03476896551724138,0.1,100,0.0
29,0.05646666666666667,0.2,100,0.0
29,0.09584655172413793,0.3,100,0.0
29,0.14977931034482758,0.4,100,0.0
29,0.20041954022988512,0.5,100,0.0
30,0.02002666666666667,0.0,100,0.0
30,0.030163333333333334,0.1,100,0.0
30,0.05708222222222221,0.2,100,0.0
30,0.10293666666666666,0.3,100,0.0
30,0.15626133333333334,0.4,100,0.0
30,0.20602222222222227,0.5,100,0.0
31,0.02561290322580645,0.0,100,0.0
31,0.04539032258064516,0.1,100,0.0
31,0.07412043010752689,0.2,100,0.0
31,0.11473870967741936,0.3,100,0.0
31,0.16808,0.4,100,0.0
31,0.2161978494623656,0.5,100,0.0
32,0.039525000000000005,0.0,100,0.0
32,0.05199375,0.1,100,0.0
32,0.07531041666666667,0.2,100,0.0
32,0.117865625,0.3,100,0.0
32,0.17066375,0.4,100,0.0
32,0.21754166666666672,0.5,100,0.0
33,0.03870303030303031,0.0,100,0.0
33,0.06047878787878788,0.1,100,0.0
33,0.08387878787878789,0.2,100,0.0
33,0.1275969696969697,0.3,100,0.0
33,0.1781709090909091,0.4,100,0.0
33,0.2249646464646465,0.5,100,0.0
34,0.03700588235294118,0.0,100,0.0
34,0.057608823529411754,0.1,100,0.0
34,0.08979411764705882,0.2,100,0.0
34,0.13333529411764705,0.3,100,0.0
34,0.18299176470588233,0.4,100,0.0
34,0.2281647058823529,0.5,100,0.0
35,0.04423428571428571,0.0,100,0.0
35,0.06716571428571429,0.1,100,0.0
35,0.09968952380952381,0.2,100,0.0
35,0.14048,0.3,100,0.0
35,0.19024685714285716,0.4,100,0.0
35,0.23505142857142858,0.5,100,0.0
36,0.05815000000000001,0.0,100,0.0
36,0.07052222222222221,0.1,100,0.0
36,0.10297777777777778,0.2,100,0.0
36,0.1459402777777778,0.3,100,0.0
36,0.19499777777777783,0.4,100,0.0
36,0.23864629629629633,0.5,100,0.0
37,0.0663081081081081,0.0,100,0.0
37,0.08325135135135135,0.1,100,0.0
37,0.1123153153153153,0.2,100,0.0
37,0.1582743243243243,0.3,100,0.0
37,0.20470594594594596,0.4,100,0.0
37,0.24654594594594595,0.5,100,0.0
38,0.07358947368421052,0.0,100,0.0
38,0.09794736842105262,0.1,100,0.0
38,0.1260736842105263,0.2,100,0.0
38,0.16643815789473684,0.3,100,0.0
38,0.21287999999999999,0.4,100,0.0
38,0.2541271929824562,0.5,100,0.0
39,0.0723076923076923,0.0,100,0.0
39,0.10175384615384614,0.1,100,0.0
39,0.13291452991452993,0.2,100,0.0
39,0.17307820512820513,0.3,100,0.0
39,0.2181641025641026,0.4,100,0.0
39,0.25847435897435894,0.5,100,0.0
40,0.069575,0.0,100,0.0
40,0.09316750000000001,0.1,100,0.0
40,0.13344166666666665,0.2,100,0.0
40,0.17679750000000002,0.3,100,0.0
40,0.22148400000000001,0.4,100,0.0
40,0.2614108333333333,0.5,100,0.0
41,0.08577073170731708,0.0,100,0.0
41,0.11757560975609754,0.1,100,0.0
41,0.15246829268292683,0.2,100,0.0
41,0.19185365853658531,0.3,100,0.0
41,0.233729756097561,0.4,100,0.0
41,0.2720617886178862,0.5,100,0.0
42,0.09912857142857144,0.0,100,0.0
42,0.12173809523809526,0.1,100,0.0
42,0.15304603174603176,0.2,100,0.0
42,0.1962011904761905,0.3,100,0.0
42,0.23694190476190474,0.4,100,0.0
42,0.2744587301587302,0.5,100,0.0
43,0.11672093023255814,0.0,100,0.0
43,0.13122093023255815,0.1,100,0.0
43,0.16539069767441858,0.2,100,0.0
43,0.20431162790697677,0.3,100,0.0
43,0.24406046511627907,0.4,100,0.0
43,0.28033255813953495,0.5,100,0.0
44,0.1067727272727273,0.0,100,0.0
44,0.13675227272727272,0.1,100,0.0
44,0.16831969696969695,0.2,100,0.0
44,0.2084875,0.3,100,0.0
44,0.24833636363636363,0.4,100,0.0
44,0.28351363636363636,0.5,100,0.0
45,0.12883555555555554,0.0,100,0.0
45,0.14742444444444447,0.1,100,0.0
45,0.1806725925925926,0.2,100,0.0
45,0.21607444444444446,0.3,100,0.0
45,0.25434133333333336,0.4,100,0.0
45,0.2890785185185185,0.5,100,0.0
46,0.13347391304347828,0.0,100,0.0
46,0.16111956521739126,0.1,100,0.0
46,0.1884550724637681,0.2,100,0.0
46,0.22351304347826087,0.3,100,0.0
46,0.2612417391304348,0.4,100,0.0
46,0.29506666666666664,0.5,100,0.0
47,0.1385872340425532,0.0,100,0.0
47,0.16283404255319148,0.1,100,0.0
47,0.19319290780141843,0.2,100,0.0
47,0.22916063829787234,0.3,100,0.0
47,0.26533276595744676,0.4,100,0.0
47,0.29865744680851064,0.5,100,0.0
48,0.1310625,0.0,100,0.0
48,0.1574625,0.1,100,0.0
48,0.19386111111111112,0.2,100,0.0
48,0.23026875,0.3,100,0.0
48,0.26615750000000005,0.4,100,0.0
48,0.29929652777777777,0.5,100,0.0
49,0.1414204081632653,0.0,100,0.0
49,0.16963469387755098,0.1,100,0.0
49,0.20263809523809523,0.2,100,0.0
49,0.23811938775510202,0.3,100,0.0
49,0.27298040816326535,0.4,100,0.0
49,0.3051979591836735,0.5,100,0.0
50,0.15862,0.0,100,0.0
50,0.181038,0.1,100,0.0
50,0.21380666666666664,0.2,100,0.0
50,0.246084,0.3,100,0.0
50,0.27965599999999996,0.4,100,0.0
50,0.310882,0.5,100,0.0
51,0.1471058823529412,0.0,100,0.0
51,0.1795274509803922,0.1,100,0.0
51,0.2143529411764706,0.2,100,0.0
51,0.24848235294117646,0.3,100,0.0
51,0.28139607843137254,0.4,100,0.0
51,0.31202287581699345,0.5,100,0.0
52,0.1688076923076923,0.0,100,0.0
52,0.1959884615384615,0.1,100,0.0
52,0.2238320512820513,0.2,100,0.0
52,0.2558375,0.3,100,0.0
52,0.28755923076923073,0.4,100,0.0
52,0.31729999999999997,0.5,100,0.0
53,0.17993584905660373,0.0,100,0.0
53,0.20352264150943397,0.1,100,0.0
53,0.23032578616352198,0.2,100,0.0
53,0.26132169811320755,0.3,100,0.0
53,0.2916233962264151,0.4,100,0.0
53,0.32079056603773587,0.5,100,0.0
54,0.18788888888888888,0.0,100,0.0
54,0.2056407407407408,0.1,100,0.0
54,0.23264938271604937,0.2,100,0.0
54,0.2635731481481482,0.3,100,0.0
54,0.2944377777777778,0.4,100,0.0
54,0.3230753086419753,0.5,100,0.0
55,0.19017818181818186,0.0,100,0.0
55,0.2120127272727273,0.1,100,0.0
55,0.24055393939393938,0.2,100,0.0
55,0.2693472727272727,0.3,100,0.0
55,0.29932363636363635,0.4,100,0.0
55,0.3272230303030303,0.5,100,0.0
56,0.19803928571428575,0.0,100,0.0
56,0.22212321428571424,0.1,100,0.0
56,0.24643928571428564,0.2,100,0.0
56,0.27411875,0.3,100,0.0
56,0.3035171428571429,0.4,100,0.0
56,0.3303464285714286,0.5,100,0.0
57,0.20947719298245615,0.0,100,0.0
57,0.23435789473684213,0.1,100,0.0
57,0.2565695906432749,0.2,100,0.0
57,0.2824736842105263,0.3,100,0.0
57,0.3096231578947369,0.4,100,0.0
57,0.3360789473684211,0.5,100,0.0
58,0.19731724137931037,0.0,100,0.0
58,0.22178275862068964,0.1,100,0.0
58,0.2519425287356322,0.2,100,0.0
58,0.27934137931034486,0.3,100,0.0
58,0.30815379310344826,0.4,100,0.0
58,0.33494540229885056,0.5,100,0.0
59,0.21811186440677965,0.0,100,0.0
59,0.23661694915254242,0.1,100,0.0
59,0.26467344632768364,0.2,100,0.0
59,0.2877669491525424,0.3,100,0.0
59,0.31472881355932203,0.4,100,0.0
59,0.3400395480225989,0.5,100,0.0
60,0.21484000000000006,0.0,100,0.0
60,0.23652166666666666,0.1,100,0.0
60,0.2616455555555555,0.2,100,0.0
60,0.28707249999999995,0.3,100,0.0
60,0.31373666666666666,0.4,100,0.0
60,0.3389872222222222,0.5,100,0.0
61,0.21588852459016397,0.0,100,0.0
61,0.24209999999999998,0.1,100,0.0
61,0.2680393442622951,0.2,100,0.0
61,0.292855737704918,0.3,100,0.0
61,0.31880131147540985,0.4,100,0.0
61,0.34373333333333334,0.5,100,0.0
62,0.23360645161290317,0.0,100,0.0
62,0.252091935483871,0.1,100,0.0
62,0.2746688172043011,0.2,100,0.0
62,0.2987991935483871,0.3,100,0.0
62,0.32388709677419353,0.4,100,0.0
62,0.3477344086021505,0.5,100,0.0
63,0.23943492063492058,0.0,100,0.0
63,0.2576349206349206,0.1,100,0.0
