Pattern,ErrorRate,CorruptionLevel,num_neurons,theta
1,0.14,0.0,100,0.0
1,0.09,0.1,100,0.0
1,0.08,0.2,100,0.0
1,0.085,0.3,100,0.0
1,0.076,0.4,100,0.0
1,0.07,0.5,100,0.0
2,0.28,0.0,100,0.0
2,0.23715,0.1,100,0.0
2,0.24806666666666669,0.2,100,0.0
2,0.24789999999999998,0.3,100,0.0
2,0.25698000000000004,0.4,100,0.0
2,0.2761,0.5,100,0.0
3,0.3549333333333333,0.0,100,0.0
3,0.36373333333333335,0.1,100,0.0
3,0.3555333333333333,0.2,100,0.0
3,0.3676166666666667,0.3,100,0.0
3,0.3701466666666666,0.4,100,0.0
3,0.39134444444444444,0.5,100,0.0
4,0.48835,0.0,100,0.0
4,0.47220000000000006,0.1,100,0.0
4,0.4747666666666666,0.2,100,0.0
4,0.4581875,0.3,100,0.0
4,0.46040000000000003,0.4,100,0.0
4,0.4671333333333333,0.5,100,0.0
5,0.47839999999999994,0.0,100,0.0
5,0.54032,0.1,100,0.0
5,0.5549333333333333,0.2,100,0.0
5,0.52707,0.3,100,0.0
5,0.5238879999999999,0.4,100,0.0
5,0.5264333333333333,0.5,100,0.0
6,0.6157,0.0,100,0.0
6,0.5612333333333333,0.1,100,0.0
6,0.5498333333333333,0.2,100,0.0
6,0.5190416666666667,0.3,100,0.0
6,0.5344133333333334,0.4,100,0.0
6,0.5560555555555556,0.5,100,0.0
7,0.5365714285714286,0.0,100,0.0
7,0.5324428571428572,0.1,100,0.0
7,0.5488952380952381,0.2,100,0.0
7,0.5596714285714286,0.3,100,0.0
7,0.5708571428571428,0.4,100,0.0
7,0.5904714285714285,0.5,100,0.0
8,0.517725,0.0,100,0.0
8,0.5694,0.1,100,0.0
8,0.583225,0.2,100,0.0
8,0.59365625,0.3,100,0.0
8,0.6055,0.4,100,0.0
8,0.6339416666666667,0.5,100,0.0
9,0.5601777777777778,0.0,100,0.0
9,0.5830666666666666,0.1,100,0.0
9,0.5693407407407407,0.2,100,0.0
9,0.5714444444444444,0.3,100,0.0
9,0.6033866666666666,0.4,100,0.0
9,0.6344296296296296,0.5,100,0.0
10,0.6332,0.0,100,0.0
10,0.6623300000000001,0.1,100,0.0
10,0.66814,0.2,100,0.0
10,0.678715,0.3,100,0.0
10,0.693264,0.4,100,0.0
10,0.7118133333333333,0.5,100,0.0
11,0.6554000000000001,0.0,100,0.0
11,0.6763181818181817,0.1,100,0.0
11,0.6963090909090909,0.2,100,0.0
11,0.7063136363636363,0.3,100,0.0
11,0.7279963636363637,0.4,100,0.0
11,0.7285272727272727,0.5,100,0.0
12,0.6668666666666667,0.0,100,0.0
12,0.7060249999999999,0.1,100,0.0
12,0.7075499999999999,0.2,100,0.0
12,0.7158208333333334,0.3,100,0.0
12,0.7237633333333333,0.4,100,0.0
12,0.7315694444444444,0.5,100,0.0
13,0.6880769230769233,0.0,100,0.0
13,0.7531076923076924,0.1,100,0.0
13,0.7520615384615384,0.2,100,0.0
13,0.7572961538461539,0.3,100,0.0
13,0.7544492307692308,0.4,100,0.0
13,0.7624589743589744,0.5,100,0.0
14,0.8094285714285715,0.0,100,0.0
14,0.8005071428571428,0.1,100,0.0
14,0.7807333333333333,0.2,100,0.0
14,0.776875,0.3,100,0.0
14,0.7827714285714285,0.4,100,0.0
14,0.7914857142857143,0.5,100,0.0
15,0.7990666666666667,0.0,100,0.0
15,0.7591866666666666,0.1,100,0.0
15,0.7750577777777778,0.2,100,0.0
15,0.7906133333333333,0.3,100,0.0
15,0.794944,0.4,100,0.0
15,0.81858,0.5,100,0.0
16,0.8403499999999999,0.0,100,0.0
16,0.8089687499999999,0.1,100,0.0
16,0.8200916666666666,0.2,100,0.0
16,0.798215625,0.3,100,0.0
