Pattern,ErrorRate,CorruptionLevel,num_neurons,param
1,0.0,0.0,100,32728
1,0.0,0.1,100,32728
1,0.0,0.2,100,32728
1,0.0,0.3,100,32728
1,0.0,0.4,100,32728
1,0.0,0.5,100,32728
2,0.0,0.0,100,32728
2,0.0,0.1,100,32728
2,0.0013,0.2,100,32728
2,0.00575,0.3,100,32728
2,0.021240000000000002,0.4,100,32728
2,0.05766666666666667,0.5,100,32728
3,0.0,0.0,100,32728
3,0.0,0.1,100,32728
3,0.0,0.2,100,32728
3,0.0057,0.3,100,32728
3,0.030719999999999997,0.4,100,32728
3,0.0887,0.5,100,32728
4,0.0,0.0,100,32728
4,0.0,0.1,100,32728
4,0.0007666666666666667,0.2,100,32728
4,0.008925,0.3,100,32728
4,0.04875,0.4,100,32728
4,0.1138,0.5,100,32728
5,0.0,0.0,100,32728
5,0.0,0.1,100,32728
5,0.00236,0.2,100,32728
5,0.01267,0.3,100,32728
5,0.051696000000000006,0.4,100,32728
5,0.11546666666666665,0.5,100,32728
6,0.0,0.0,100,32728
6,0.0,0.1,100,32728
6,0.0013777777777777777,0.2,100,32728
6,0.011933333333333334,0.3,100,32728
6,0.05382666666666667,0.4,100,32728
6,0.12589444444444445,0.5,100,32728
7,0.0,0.0,100,32728
7,0.0,0.1,100,32728
7,0.00038095238095238096,0.2,100,32728
7,0.014507142857142856,0.3,100,32728
7,0.06501142857142858,0.4,100,32728
7,0.13562380952380954,0.5,100,32728
8,0.0,0.0,100,32728
8,0.0,0.1,100,32728
8,0.00245,0.2,100,32728
8,0.013993749999999998,0.3,100,32728
8,0.06938999999999998,0.4,100,32728
8,0.14117083333333333,0.5,100,32728
9,0.0,0.0,100,32728
9,0.0,0.1,100,32728
9,0.0011407407407407408,0.2,100,32728
9,0.01732777777777778,0.3,100,32728
9,0.06900444444444444,0.4,100,32728
9,0.13892222222222222,0.5,100,32728
10,0.0,0.0,100,32728
10,0.0,0.1,100,32728
10,0.0020066666666666666,0.2,100,32728
10,0.01906,0.3,100,32728
10,0.075428,0.4,100,32728
10,0.14658000000000002,0.5,100,32728
11,0.0,0.0,100,32728
11,0.0,0.1,100,32728
11,0.001212121212121212,0.2,100,32728
11,0.017659090909090912,0.3,100,32728
11,0.07431272727272727,0.4,100,32728
11,0.14710909090909086,0.5,100,32728
12,0.0,0.0,100,32728
12,0.0,0.1,100,32728
12,0.000861111111111111,0.2,100,32728
12,0.02090416666666667,0.3,100,32728
12,0.08262333333333335,0.4,100,32728
12,0.15382222222222225,0.5,100,32728
13,0.0,0.0,100,32728
13,0.0,0.1,100,32728
13,0.0010820512820512822,0.2,100,32728
13,0.024703846153846153,0.3,100,32728
13,0.08513538461538463,0.4,100,32728
13,0.1577641025641026,0.5,100,32728
14,0.0,0.0,100,32728
14,0.0,0.1,100,32728
14,0.0016761904761904763,0.2,100,32728
14,0.022767857142857145,0.3,100,32728
14,0.08578857142857144,0.4,100,32728
14,0.16013809523809525,0.5,100,32728
15,0.0,0.0,100,32728
15,0.0,0.1,100,32728
15,0.001066666666666667,0.2,100,32728
15,0.021903333333333334,0.3,100,32728
15,0.08784800000000001,0.4,100,32728
15,0.1631822222222222,0.5,100,32728
16,0.0,0.0,100,32728
16,0.0,0.1,100,32728
16,0.0029958333333333334,0.2,100,32728
16,0.02625625,0.3,100,32728
16,0.0879225,0.4,100,32728
16,0.16257083333333333,0.5,100,32728
17,0.0,0.0,100,32728
17,0.0,0.1,100,32728
17,0.0024666666666666665,0.2,100,32728
17,0.026291176470588234,0.3,100,32728
17,0.0925905882352941,0.4,100,32728
17,0.16618431372549022,0.5,100,32728
18,0.0,0.0,100,32728
18,0.0004944444444444445,0.1,100,32728
18,0.0029814814814814812,0.2,100,32728
18,0.02560555555555556,0.3,100,32728
18,0.09294666666666668,0.4,100,32728
18,0.16625740740740744,0.5,100,32728
19,0.0,0.0,100,32728
19,0.0,0.1,100,32728
19,0.0024807017543859652,0.2,100,32728
19,0.028442105263157894,0.3,100,32728
19,0.09288210526315789,0.4,100,32728
19,0.1668877192982456,0.5,100,32728
20,0.0,0.0,100,32728
20,0.0,0.1,100,32728
20,0.0024933333333333335,0.2,100,32728
20,0.0281975,0.3,100,32728
20,0.09879799999999998,0.4,100,32728
20,0.17180666666666664,0.5,100,32728
21,0.0,0.0,100,32728
21,0.0,0.1,100,32728
21,0.0020761904761904763,0.2,100,32728
21,0.03100476190476191,0.3,100,32728
21,0.10339809523809523,0.4,100,32728
21,0.17644761904761905,0.5,100,32728
22,0.0,0.0,100,32728
22,0.0,0.1,100,32728
22,0.0024393939393939396,0.2,100,32728
22,0.031011363636363636,0.3,100,32728
22,0.1018490909090909,0.4,100,32728
22,0.17610454545454546,0.5,100,32728
23,0.0,0.0,100,32728
23,0.0,0.1,100,32728
23,0.0033072463768115943,0.2,100,32728
23,0.03347826086956522,0.3,100,32728
23,0.10424695652173913,0.4,100,32728
23,0.17810144927536234,0.5,100,32728
24,0.0,0.0,100,32728
24,0.0,0.1,100,32728
24,0.0024777777777777775,0.2,100,32728
24,0.033377083333333335,0.3,100,32728
24,0.10719333333333333,0.4,100,32728
24,0.18012777777777778,0.5,100,32728
25,0.0,0.0,100,32728
25,0.0,0.1,100,32728
25,0.0019333333333333331,0.2,100,32728
25,0.030168,0.3,100,32728
25,0.1025168,0.4,100,32728
25,0.17666133333333334,0.5,100,32728
26,0.0,0.0,100,32728
26,0.0,0.1,100,32728
26,0.0030333333333333336,0.2,100,32728
26,0.036298076923076926,0.3,100,32728
26,0.1089753846153846,0.4,100,32728
26,0.18110897435897436,0.5,100,32728
27,0.0,0.0,100,32728
27,0.0,0.1,100,32728
27,0.0024024691358024695,0.2,100,32728
27,0.03311111111111111,0.3,100,32728
27,0.10564888888888889,0.4,100,32728
27,0.17824814814814816,0.5,100,32728
28,0.0,0.0,100,32728
28,0.0,0.1,100,32728
28,0.00275,0.2,100,32728
28,0.035567857142857144,0.3,100,32728
28,0.11059142857142858,0.4,100,32728
28,0.18465119047619047,0.5,100,32728
29,0.0,0.0,100,32728
29,0.0,0.1,100,32728
29,0.0033011494252873563,0.2,100,32728
29,0.03491724137931035,0.3,100,32728
29,0.11182344827586206,0.4,100,32728
29,0.18580229885057473,0.5,100,32728
30,0.0,0.0,100,32728
30,0.0,0.1,100,32728
30,0.0026422222222222216,0.2,100,32728
30,0.03432833333333333,0.3,100,32728
30,0.109096,0.4,100,32728
30,0.18302555555555555,0.5,100,32728
31,0.0,0.0,100,32728
31,0.0,0.1,100,32728
31,0.003948387096774195,0.2,100,32728
31,0.03724032258064516,0.3,100,32728
31,0.11261806451612902,0.4,100,32728
31,0.1866752688172043,0.5,100,32728
32,0.0,0.0,100,32728
32,0.0,0.1,100,32728
32,0.0040729166666666665,0.2,100,32728
32,0.0375796875,0.3,100,32728
32,0.11254624999999999,0.4,100,32728
32,0.18601562500000002,0.5,100,32728
33,0.0,0.0,100,32728
33,0.0,0.1,100,32728
33,0.0036888888888888896,0.2,100,32728
33,0.036672727272727274,0.3,100,32728
33,0.1126290909090909,0.4,100,32728
33,0.1866989898989899,0.5,100,32728
34,0.0,0.0,100,32728
34,0.0,0.1,100,32728
34,0.003292156862745098,0.2,100,32728
34,0.04051323529411764,0.3,100,32728
34,0.11461411764705884,0.4,100,32728
34,0.18800294117647057,0.5,100,32728
35,0.0,0.0,100,32728
35,0.0,0.1,100,32728
35,0.0032666666666666664,0.2,100,32728
35,0.03535,0.3,100,32728
35,0.11505828571428571,0.4,100,32728
35,0.1893857142857143,0.5,100,32728
36,0.0,0.0,100,32728
36,0.00012777777777777776,0.1,100,32728
36,0.004188888888888889,0.2,100,32728
36,0.039266666666666665,0.3,100,32728
36,0.11769555555555554,0.4,100,32728
36,0.19140092592592592,0.5,100,32728
37,0.0,0.0,100,32728
37,0.0,0.1,100,32728
37,0.003809009009009008,0.2,100,32728
37,0.039631081081081085,0.3,100,32728
37,0.11641513513513514,0.4,100,32728
37,0.1897828828828829,0.5,100,32728
38,0.0,0.0,100,32728
38,0.0,0.1,100,32728
38,0.003805263157894736,0.2,100,32728
38,0.04089605263157895,0.3,100,32728
38,0.11916736842105263,0.4,100,32728
38,0.1931421052631579,0.5,100,32728
39,0.0,0.0,100,32728
39,0.0,0.1,100,32728
39,0.0036769230769230763,0.2,100,32728
39,0.04138589743589744,0.3,100,32728
39,0.11880923076923078,0.4,100,32728
39,0.19246068376068376,0.5,100,32728
40,0.0,0.0,100,32728
40,0.0,0.1,100,32728
40,0.0032366666666666668,0.2,100,32728
40,0.04126875,0.3,100,32728
40,0.120342,0.4,100,32728
40,0.19362666666666667,0.5,100,32728
41,0.0,0.0,100,32728
41,0.0,0.1,100,32728
41,0.003370731707317073,0.2,100,32728
41,0.04248902439024391,0.3,100,32728
41,0.12008390243902439,0.4,100,32728
41,0.19357073170731703,0.5,100,32728
42,0.0,0.0,100,32728
42,0.0,0.1,100,32728
42,0.003423809523809524,0.2,100,32728
42,0.04132857142857142,0.3,100,32728
42,0.12094952380952381,0.4,100,32728
42,0.19578095238095236,0.5,100,32728
43,0.0,0.0,100,32728
43,0.0,0.1,100,32728
43,0.004609302325581394,0.2,100,32728
43,0.04250348837209303,0.3,100,32728
43,0.12152279069767444,0.4,100,32728
43,0.19510155038759688,0.5,100,32728
44,0.0,0.0,100,32728
44,0.0,0.1,100,32728
44,0.004368181818181818,0.2,100,32728
44,0.04187272727272728,0.3,100,32728
44,0.12063727272727273,0.4,100,32728
44,0.19451666666666664,0.5,100,32728
45,0.0,0.0,100,32728
45,0.0,0.1,100,32728
45,0.0045837037037037036,0.2,100,32728
45,0.04476666666666666,0.3,100,32728
45,0.1249191111111111,0.4,100,32728
45,0.19777851851851855,0.5,100,32728
46,0.0,0.0,100,32728
46,0.0,0.1,100,32728
46,0.004207246376811594,0.2,100,32728
46,0.044054347826086956,0.3,100,32728
46,0.12423391304347825,0.4,100,32728
46,0.1978572463768116,0.5,100,32728
47,0.0,0.0,100,32728
47,8.297872340425531e-05,0.1,100,32728
47,0.004158865248226951,0.2,100,32728
47,0.04438191489361702,0.3,100,32728
47,0.12447148936170215,0.4,100,32728
47,0.19800992907801418,0.5,100,32728
48,0.0,0.0,100,32728
48,0.00010416666666666667,0.1,100,32728
48,0.004640277777777779,0.2,100,32728
48,0.04260624999999999,0.3,100,32728
48,0.12338916666666667,0.4,100,32728
48,0.19822361111111111,0.5,100,32728
49,0.0,0.0,100,32728
49,0.0,0.1,100,32728
49,0.004768707482993197,0.2,100,32728
49,0.047394897959183675,0.3,100,32728
49,0.1281330612244898,0.4,100,32728
49,0.20158027210884352,0.5,100,32728
50,0.0,0.0,100,32728
50,0.0,0.1,100,32728
