Pattern,ErrorRate,CorruptionLevel
1,0.0,0.0
1,0.0,0.1
1,0.0,0.2
1,0.0,0.3
1,0.002,0.4
1,0.08833333333333333,0.5
2,0.0,0.0
2,0.0,0.1
2,0.0,0.2
2,0.0,0.3
2,0.01766,0.4
2,0.10121666666666665,0.5
3,0.0,0.0
3,0.0,0.1
3,0.0,0.2
3,0.0021,0.3
3,0.027133333333333332,0.4
3,0.10445555555555555,0.5
4,0.0,0.0
4,0.0,0.1
4,0.0,0.2
4,0.0035375000000000003,0.3
4,0.034300000000000004,0.4
4,0.10610833333333332,0.5
5,0.0,0.0
5,0.00012,0.1
5,0.0002666666666666666,0.2
5,0.00538,0.3
5,0.039256,0.4
5,0.11530666666666668,0.5
6,6.666666666666666e-05,0.0
6,0.0001333333333333333,0.1
6,8.888888888888888e-05,0.2
6,0.004733333333333333,0.3
6,0.04444666666666666,0.4
6,0.1189111111111111,0.5
7,0.0,0.0
7,0.0,0.1
7,0.0007904761904761905,0.2
7,0.00915,0.3
7,0.04863428571428572,0.4
7,0.12505714285714287,0.5
8,0.000275,0.0
8,0.00021250000000000002,0.1
8,0.0014750000000000004,0.2
8,0.010293749999999999,0.3
8,0.05756,0.4
8,0.13284583333333336,0.5
9,0.00039999999999999996,0.0
9,0.0006111111111111111,0.1
9,0.0044222222222222215,0.2
9,0.017177777777777778,0.3
9,0.0658088888888889,0.4
9,0.13918888888888892,0.5
10,0.0009200000000000002,0.0
10,0.0009500000000000003,0.1
10,0.004226666666666668,0.2
10,0.022765,0.3
10,0.074048,0.4
10,0.14558000000000001,0.5
11,0.0034363636363636363,0.0
11,0.0034727272727272727,0.1
11,0.00904242424242424,0.2
11,0.03444090909090909,0.3
11,0.08800727272727273,0.4
11,0.1563939393939394,0.5
12,0.0033166666666666665,0.0
12,0.005658333333333333,0.1
12,0.014844444444444443,0.2
12,0.04122083333333333,0.3
12,0.09566333333333332,0.4
12,0.16604166666666664,0.5
13,0.005384615384615384,0.0
13,0.011961538461538461,0.1
13,0.023302564102564104,0.2
13,0.05397692307692308,0.3
13,0.10809538461538462,0.4
13,0.17353333333333334,0.5
