Pattern,ErrorRate,CorruptionLevel,num_neurons,param
1,0.0,0.0,100,64
1,0.0,0.2,100,64
2,0.0039000000000000003,0.0,100,64
2,0.03475,0.2,100,64
3,0.0,0.0,100,64
3,0.05549999999999999,0.2,100,64
4,0.0016,0.0,100,64
4,0.06775000000000002,0.2,100,64
5,0.00116,0.0,100,64
5,0.08734,0.2,100,64
6,0.0,0.0,100,64
6,0.10303333333333331,0.2,100,64
7,0.0006857142857142856,0.0,100,64
7,0.10611428571428572,0.2,100,64
8,0.0014000000000000002,0.0,100,64
8,0.1201375,0.2,100,64
9,0.0019111111111111113,0.0,100,64
9,0.12666666666666665,0.2,100,64
10,0.00042,0.0,100,64
10,0.13444,0.2,100,64
11,0.002072727272727273,0.0,100,64
11,0.1382818181818182,0.2,100,64
12,0.0014333333333333333,0.0,100,64
12,0.14309166666666664,0.2,100,64
13,0.0009230769230769232,0.0,100,64
13,0.1485,0.2,100,64
14,0.0008142857142857143,0.0,100,64
14,0.15354285714285712,0.2,100,64
15,0.0007866666666666666,0.0,100,64
15,0.16464,0.2,100,64
16,0.0022249999999999995,0.0,100,64
16,0.16357499999999997,0.2,100,64
17,0.002352941176470588,0.0,100,64
17,0.16263529411764704,0.2,100,64
18,0.0015111111111111109,0.0,100,64
18,0.1710611111111111,0.2,100,64
19,0.0024105263157894736,0.0,100,64
19,0.17015789473684212,0.2,100,64
20,0.0016599999999999998,0.0,100,64
20,0.17593499999999998,0.2,100,64
21,0.0009047619047619048,0.0,100,64
21,0.17671904761904764,0.2,100,64
22,0.002409090909090909,0.0,100,64
22,0.18300454545454542,0.2,100,64
23,0.004330434782608696,0.0,100,64
23,0.18465217391304342,0.2,100,64
24,0.002966666666666667,0.0,100,64
24,0.1839916666666667,0.2,100,64
